,id,price,signed,deadline,method,procurer,supplier,proinn,supinn,registered,address,number,mail,code,product
5089,2666001041516000257,"14 960 000,00 ",2016-01-06,2016-01-10,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИРМА ЕВРОСЕРВИС"" (ЗАО ""ФИРМА ЕВРОСЕРВИС"")",6660010415,7731241639,28.08.1996,"['121357, г МОСКВА 77, ул ВЕРЕСАЕВА, 8']",7-495-7894619,auction@euro-service.ru,21.20.10.174,"КЕТОАНАЛОГИ АМИНОКИСЛОТ, Кетоаминол, таблетки покрытые пленочной оболочкой № 100 , Наньцзин Байцзинюй Фармасьютикал Ко., Лтд. - Китай"
5097,3663000222316000009,"2 393 283,12 ",2016-01-14,2016-12-31,Электронный аукцион,"Муниципальное казенное учреждение ""Управление городского хозяйства""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСПЕНИЕ"" (ООО ""УСПЕНИЕ"")",6630002223,6630013874,31.12.2010,"['624205, обл СВЕРДЛОВСКАЯ 66, г ЛЕСНОЙ, ул КИРОВА, 48, 9']",8-34342-61580,uspenie-lesnoy@mail.ru,96.03.11.000,Обслуживание городских кладбищ в течении 2016 года
5191,3661100245016000005,"2 263 885,00 ",2016-01-02,2016-06-30,Электронный аукцион,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 10""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМБИНАТ ШКОЛЬНОГО И СТУДЕНЧЕСКОГО ПИТАНИЯ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ (МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМБИНАТ ШКОЛЬНОГО И СТУДЕНЧЕСКОГО ПИТАНИЯ""МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ)",6611002450,6611001062,01.09.2011,"['623856, обл СВЕРДЛОВСКАЯ 66, г ИРБИТ, ул ПЕРВОМАЙСКАЯ, 39']",8-34355-64776,kombinatt-irbit@mail.ru,56.29.19.000,Оказание услуг по организации горячего питания учащихся во время образовательного процесса в первом полугодии 2016 г.
5258,3664601148816000004,"2 000 000,00 ",2016-01-18,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",АДМИНИСТРАЦИЯ МИХАЙЛОВСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6646011488,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-343-3576966,sesb@ies-holding.com,35.11.10.149,Поставка электрической энергии
5266,3666005552916000018,"1 014 821,00 ",2016-01-14,2016-12-31,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 10""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ"" (ООО ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ"")",6660055529,6679017291,10.07.2012,"['620010, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул ЧЕРНЯХОВСКОГО, 63, 24А']",8-343-2317965,tdo@technologies-m.ru,31.01.12.190,Мебель корпусная
5282,3660700816016000002,"1 885 862,00 ",2016-01-15,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 6""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКОЕ УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" (МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА ВЕРХНЯЯ САЛДА ""ГОРОДСКОЕ УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"")",6607008160,6607001454,01.01.2013,"['624760, обл СВЕРДЛОВСКАЯ 66, г ВЕРХНЯЯ САЛДА, ул ПАРКОВАЯ, 1, А']",7-34345-23552,ujkh@mail.ru,35.30.11.120,Тепловая энергия
5285,2666001041516000079,"10 865 984,40 ",2016-01-03,2016-12-31,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОПЕЙСКИЙ МЕДИЦИНСКИЙ ЦЕНТР ""УГМК-ЗДОРОВЬЕ"" (ООО ""УГМК-ЗДОРОВЬЕ"")",6660010415,6671276329,18.12.2008,"['620144, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул ШЕЙНКМАНА, 113, 521']",7-343-3442767,etp@ugmk-clinic.ru,86.10.11.110,медицинские услуги при осуществлении высокотехнологичной медицинской помощи по травматологии и ортопедии
5298,3662001582616000016,"1 783 120,00 ",2016-01-07,2016-10-30,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МУНИЦИПАЛЬНЫЙ ЗАКАЗЧИК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМНЕФТЬ - КОРПОРАТИВНЫЕ ПРОДАЖИ"" (ООО ""ГАЗПРОМНЕФТЬ - КОРПОРАТИВНЫЕ ПРОДАЖИ"")",6620015826,5259033080,30.10.2013,"['191014, РФ г. Санкт-Петербург, ул. Парадная, дом 3, корпус 1']",7-3435-422011,Lambrekht.EV@gpncard.ru,19.20.21.311,Топливо дизельное
5321,3660100764317000003,"2 899 521,68 ",2016-01-25,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ  ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 43 ""ЛЕБЕДУШКА"" ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ ДЕЯТЕЛЬНОСТИ ПО ХУДОЖЕСТВЕННО-ЭСТЕТИЧЕСКОМУ НАПРАВЛЕНИЮ РАЗВИТИЯ ДЕТЕЙ""","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕПЛОЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС УРАЛЬСКОГО РЕГИОНА"" (ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕПЛОЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС УРАЛЬСКОГО РЕГИОНА"", ЗАО ""ТЭКУР"")",6601007643,6672219517,25.04.2007,"['624601, обл СВЕРДЛОВСКАЯ 66, г АЛАПАЕВСК, ул КОРОБКИНА, 14, 20']",7-34346-21117,filtekur@mail.ru,35.30.11.120,поставка тепловой энергии
5434,3661101026816000001,"1 082 278,34 ",2016-01-29,2016-12-31,Электронный аукцион,Администрация муниципального образования Байкаловского сельского поселения,Матаков Александр НиколаевичИндивидуальный предприниматель,6611010268,663800063722,06.06.2006,"['623870,Свердловская обл., с.Байкалово, ул.Озерная 49-2']",7-961-7781377,matakov.aleksandr@mail.ru,42.11.20.000,Выполнение работ по содержанию дорог и тротуаров на территории МО Байкаловского сельского поселения
5483,2665831461716000016,"7 218 689,61 ",2016-01-21,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ПО СОДЕРЖАНИЮ И ИСПОЛЬЗОВАНИЮ НЕЖИЛЫХ ПОМЕЩЕНИЙ, ОТНЕСЕННЫХ К ОБЛАСТНОЙ СОБСТВЕННОСТИ ""СИНПО""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"" (ПАО ""Т ПЛЮС"")",6658314617,6315376946,15.06.2015,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3']",7-343-3555413,info@tplusgroup.ru,35.30.11.111,поставка тепловой энергии
5527,3667124994216000001,"1 005 290,60 ",2016-01-26,2017-01-31,Электронный аукцион,"Муниципальное бюджетное учреждение ""Автобаза Администрации города Екатеринбурга""",ОАО «АльфаСтрахование»,6671249942,7713056834,22.08.2001,"['115162, 115162, Российская Федерация, г. Москва, ул. Шаболовка, 31 стр. Б']",+7(495)7880999(5601),DeevaAA@alfastrah.ru,65.12.29.000,"оказание услуг по добровольному страхованию 12 ед. транспортных средств, принадлежащих МБУ ""Автобаза Администрации города Екатеринбурга"""
5533,3662501747116000006,"2 886 050,82 ",2016-01-03,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ №21""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВЕРДЛОВСКАЯ ТЕПЛОСНАБЖАЮЩАЯ КОМПАНИЯ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВЕРДЛОВСКАЯ ТЕПЛОСНАБЖАЮЩАЯ КОМПАНИЯ"", ООО ""СТК"")",6625017471,6673162327,22.03.2013,"['620075, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, пр-кт ЛЕНИНА, 38']",8-343-3576927,info_stk@ies-holding.com,35.30.11.111,Услуги по поставке тепловой энергии
5626,1666202233516000009,"1 211 819,45 ",2016-01-23,2016-06-30,Электронный аукцион,Екатеринбургская таможня,"""ТЕРРИТОРИАЛЬНАЯ ЭКСПЛУАТАЦИОННАЯ СЛУЖБА""",6662022335,7452119741,21.11.2014,"['454071, обл ЧЕЛЯБИНСКАЯ 74, г. ЧЕЛЯБИНСК, ул .КОМАРОВА, 137, 74']",643-343-2232005,cssural@bk.ru,81.21.10.000,"Оказание услуг по техническому обслуживанию и содержанию зданий, сооружений, инженерных и коммунальных сетей Екатеринбургской таможни на 2016 год"
5684,1665814577516000011,"2 638 611,12 ",2016-01-18,2016-06-30,Электронный аукцион,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ БЕЗОПАСНОСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ,"Макрорегиональный филиал ""Урал"" ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА МЕЖДУГОРОДНОЙ И МЕЖДУНАРОДНОЙ СВЯЗИ ""РОСТЕЛЕКОМ"" (Макрорегиональный филиал ""Урал"" ПАО ""РОСТЕЛЕКОМ"")",,7707049388,25.07.2006,"['620110, г.Екатеринбург, ул. Луначарского, д.134/Б']",7-343-3544919,Leshhukova-eyu@ural.rt.ru,61.90.10.160,Оказание услуг связи по организации и предоставлению цифровых каналов передачи данных
5688,3666401755616000007,"3 261 539,58 ",2016-01-02,2016-01-06,Электронный аукцион,Администрация Чкаловского района города Екатеринбурга,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРДЕН-ЕК"" (ООО ""ГАРДЕН-ЕК"")",6664017556,6658455103,21.05.2014,"['620016, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Вильгельма де Геннина,  дом 40, 248, ОКАТО: 65401000000']",7-343-3850933,ooo_garden@mail.ru,01.61.10.290,Оказание услуг по обрезке зеленых насаждений на территории Чкаловского района города Екатеринбурга в 2016 году
5700,2665846316816000102,"52 020 920,00 ",2016-01-28,2016-12-31,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СВЕРДЛОВСКИЙ ОБЛАСТНОЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САВ-ФАРМ"" (ООО ""САВ-ФАРМ"")",6658463168,6686006036,04.04.2012,"['620012, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, пл 1-Й ПЯТИЛЕТКИ, Б/Н, СКЛАД ЦЕХА 61']",7-343-3100055,sav-farm@mail.ru,21.20.10.211,Трастузумаб
5745,3661300408316000004,"1 115 019,17 ",2016-01-29,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АКСАРИХИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОСТОЧНОЕ КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" (МУП ""ВКХ"")",6613004083,6633019070,09.07.2012,"['624838, обл СВЕРДЛОВСКАЯ 66, р-н КАМЫШЛОВСКИЙ, п ВОСТОЧНЫЙ, ул КОМАРОВА, 21']",7-950-2087994,mup.vkh@mail.ru,35.30.11.120,поставка тепловой энергии
5758,1668000001316000002,"8 919 000,00 ",2016-01-21,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",МЕЖРАЙОННАЯ ИНСПЕКЦИЯ ФЕДЕРАЛЬНОЙ НАЛОГОВОЙ СЛУЖБЫ № 26 ПО СВЕРДЛОВСКОЙ ОБЛАСТИ,Ядрышникова Лидия НиколаевнаИндивидуальный предприниматель,6680000013,663200478250,26.12.2005,"['Свердловская область, г. Серов, ул. Февральской Революции, 2а']",8-34385-38588,bogatovatatiana@rambler.ru,68.20.12.000,Аренда нежилого помещения
5765,2661702533416000115,"11 373 593,93 ",2016-01-03,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","государственное бюджетное учреждение здравоохранения Свердловской области ""Краснотурьинская городская больница""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""УПРАВЛЕНИЕ КОММУНАЛЬНЫМ КОМПЛЕКСОМ"" (МУП ""УКК"")",6617025334,6617009318,14.07.2004,"['624441, обл СВЕРДЛОВСКАЯ 66, г КРАСНОТУРЬИНСК, ул ОКТЯБРЬСКАЯ, 45']",8-34384-31224,ykk@mail.ru,35.30.11.111,теплоснабжение
5803,2666208106616000120,"1 163 000,00 ",2016-01-11,2016-12-30,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ООО ""Новый дом""",6662081066,7452035298,04.02.2015,"['454081, Российская Федерация, Челябинская обл., г. Челябинск, ул. Механическая, ДОМ 8, ОКАТО: 75401364000']",+7(351)7347434,-,68.10.11.000,"Приобретение жилого помещения на территории г.Каменска-Уральского  Свердловской области для детей-сирот и детей, оставшихся без попечения родителей,  лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013..."
5910,1666110304516000001,"2 700 000,00 ",2016-01-20,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ -УПРАВЛЕНИЕ ПЕНСИОННОГО ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ В ЧКАЛОВСКОМ РАЙОНЕ ГОРОДА ЕКАТЕРИНБУРГА СВЕРДЛОВСКОЙ ОБЛАСТИ,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПОЧТА РОССИИ"" (ФГУП ""ПОЧТА РОССИИ"")",6661103045,7724261610,14.02.2003,"['131000, г МОСКВА 77, ш ВАРШАВСКОЕ, 37']",7-495-9569950,office@russianpost.ru,53.10.12.000,"Оказание услуг почтовой связи: прием, обработка, пересылка и доставка (вручение) всех видов внутренних почтовых отправлений"
6053,1666901243116000002,"11 589 139,30 ",2016-01-03,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","федеральное казенное учреждение ""Исправительная колония № 13 Главного управления Федеральной службы исполнения наказаний по Свердловской области""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6669012431,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-3435-471724,sesb@ies-holding.com,35.11.10.112,электроэнергия
6096,1665800007116000105,"2 362 500,00 ",2016-01-04,2016-12-30,"Закупка у единственного поставщика (подрядчика, исполнителя)",ГЛАВНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 47 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ"" (ФКУ ИК-47 ГУФСИН РОССИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ)",6658000071,6666009335,12.03.1999,"['623402, обл СВЕРДЛОВСКАЯ 66, г КАМЕНСК-УРАЛЬСКИЙ, ул ОЗЕРНАЯ, 2, Б']",8-3439-320505,ik47_gufsin@mail.ru,10.51.11.110,Молоко питьевое
6140,3661201544516000004,"1 235 905,35 ",2016-01-14,2016-12-31,Электронный аукцион,"муниципальное казенное учреждение ""Управление городского хозяйства""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛДОРСТРОЙ"" (ООО ""УРАЛДОРСТРОЙ"")",6612015445,6612045792,06.10.2014,"['623405, обл СВЕРДЛОВСКАЯ 66, г КАМЕНСК-УРАЛЬСКИЙ, ул 2-Я ПОЛЕВАЯ, 6']",7-982-6130777,zharikov-1983@mail.ru,42.11.20.000,содержание
6235,1667007300516000012,"2 240 640,00 ",2016-01-26,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ",Морозова Лилия ВладимировнаИндивидуальный предприниматель,6670073005,666301829125,04.06.2007,"['623408, ОБЛ СВЕРДЛОВСКАЯ 66, Г КАМЕНСК-УРАЛЬСКИЙ, УЛ СУВОРОВА, 18, 73']",8-343-2977584,suvorova@mail.ru,68.32.13.120,временное владение и пользование (аренда) нежилого помещения
6270,2661702533416000116,"15 151 761,60 ",2016-01-03,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","государственное бюджетное учреждение здравоохранения Свердловской области ""Краснотурьинская городская больница""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6617025334,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",8-34384-35119,ekb@esplus.ru,35.11.10.119,энергоснабжение
6377,1666402342216000056,"22 140 000,00 ",2016-01-08,2016-12-20,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 10 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГ ОПТ"" (ООО ""ТОРГ ОПТ"")",6664023422,7710497301,16.02.2016,"['119121, г МОСКВА 77, ул СМОЛЕНСКАЯ, ДОМ 7, ПОМЕЩЕНИЕ I']",8-495-5324184,torgopt15@bk.ru,25.71.12.110,станок бритвенный разового пользования с одним и более лезвиями
6421,2665808158516000054,"1 083 600,00 ",2016-01-14,2016-12-31,Электронный аукцион,"государственное бюджетное учреждение здравоохранения Свердловской области ""Свердловская областная клиническая больница № 1""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД МЕДСИНТЕЗ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД МЕДСИНТЕЗ"")",6658081585,6629012040,05.04.2006,"['620144, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул 8 МАРТА, 90, А']",7-902-2532378,boris.sanatin@medsintez.com,21.20.10.116,"Глюкоза раствор для инфузий 5% - 500 мл, контейнер полимерный с 2 портами, помещенный во внешний защитный пакет"
6423,2665800623516000012,"1 440 000,00 ",2016-01-21,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ  ""МЕДИЦИНСКИЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО МЕЖДУГОРОДНОЙ И МЕЖДУНАРОДНОЙ ЭЛЕКТРИЧЕСКОЙ СВЯЗИ ""РОСТЕЛЕКОМ"" (ПАО ""РОСТЕЛЕКОМ"")",6658006235,7707049388,25.07.2006,"['191002, Г САНКТ-ПЕТЕРБУРГ 78, УЛ ДОСТОЕВСКОГО, 15']",7-343-3791723,ekt@ural.rt.ru,61.10.12.000,"Услуга ""Бесплатный вызов"" с предоставлением номера 8-800-1000-153"
6427,2666208106616000116,"1 163 000,00 ",2016-01-11,2016-12-30,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ООО ""Новый дом""",6662081066,7452035298,04.02.2015,"['454081, Российская Федерация, Челябинская обл., г. Челябинск, ул. Механическая, ДОМ 8, ОКАТО: 75401364000']",+7(351)7347434,-,68.10.11.000,"Приобретение жилого помещения на территории г.Каменска-Уральского  Свердловской области для детей-сирот и детей, оставшихся без попечения родителей,  лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013..."
6553,1665802145916000224,"1 422 127,63 ",2016-01-11,2016-12-31,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УРАЛЬСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ОХРАНЫ МАТЕРИНСТВА И МЛАДЕНЧЕСТВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","Общество с ограниченной ответственностью ""Медсилк""",6658021459,6658108533,21.02.2000,['620028 Российская Федерация Свердловская область г. Екатеринбург ул. Кирова д. 9'],7-343-3717232,medsilk@yandex.ru,21.20.24.120,Игла атравматическая с нитью хирургической
6564,3660301012016000003,"1 450 653,52 ",2016-01-31,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 22 ИМ. Н.И. КУЗНЕЦОВА"" АСБЕСТОВСКОГО ГОРОДСКОГО ОКРУГА","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРЭНЕРГО"" МУНИНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД АСБЕСТ (МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРЭНЕРГО"" МУНИНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД АСБЕСТ)",6603010120,6603002457,02.02.1994,"['624260, обл СВЕРДЛОВСКАЯ 66, г АСБЕСТ, ул ВОЙКОВА, 68, А']",7-34365-74775,gorenergo@uraltc.ru,35.30.11.120,Снабжение тепловой энергией
6653,2666305651316000001,"1 124 995,70 ",2016-01-21,2016-12-31,"Способ определения поставщика (подрядчика, исполнителя), установленный Правительством Российской Федерации в соответствии со ст. 111 Федерального закона № 44-ФЗ","государственное казенное общеобразовательное учреждение Свердловской области ""Екатеринбургская школа-интернат № 9, реализующая адаптированные основные общеобразовательные программы""","""ЕКАТЕРИНБУРГЭНЕРГОСБЫТ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКАТЕРИНБУРГЭНЕРГОСБЫТ"")",6663056513,6671250899,30.01.2008,"['620144, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул СУРИКОВА, ДОМ 48']",7-343-2157713,budget@eens.ru,35.12.10.110,Поставка электрической энергии
