2666208106620000169,"16 450 500,00 ",21.12.2020,30.09.2022,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""УРАЛСТРОЙ""",6662081066,6685177945,24.08.2020,"['620026, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, УЛ БЕЛИНСКОГО, СТР 39, ОФИС 903']",79826666802,urb-k@mail.ru,68.10.11.000,1
2666001253219000043,"9 690 000,00 ",11.12.2019,31.07.2020,Электронный аукцион,"ФИЛИАЛ ГОСУДАРСТВЕННОГО КАЗЕННОГО УЧРЕЖДЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""УРАЛМОНАЦИТ"" Г.ДЕГТЯРСК",Рыльцов Денис АнатольевичИндивидуальный предприниматель,6660012532,667903323948,16.08.2016,"['620102, Свердловская область, г. Екатеринбург, ул Посадская, д. 32/2 кв.49']",7 9220300936,xaw2112@gmail.com,23.52.10.110,"Поставка извести негашеной комовой для осуществления нейтрализации кислых шахтных вод, поступающих с бывшего Дегтярского рудника"
2666001041517000071,"2 742 660,00 ",24.01.2017,01.10.2017,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"Общество с ограниченной ответственностью ""САВ-МЕД""",6660010415,6658450610,21.02.2014,"['640014, Российская Федерация, Свердловская обл., г. Екатеринбург, Юмашева, 10, 23, ОКАТО: 65401000000']",7-343-3366412,sysadmin@raduga-farma.ru,21.20.10.233,ВАЛЬПРОЕВАЯ КИСЛОТА ВАЛЬПАРИН ХР таблетки пролонгированного действия покрытые пленочной оболочкой 300 мг №30 Торрент Фармасьютикалс Лтд - Индия
3666100466120000107,"3 160 000,00 ",21.12.2020,28.12.2021,"Закупка у единственного поставщика (подрядчика, исполнителя)",АДМИНИСТРАЦИЯ ГОРОДА ЕКАТЕРИНБУРГА,Акционерное общество «Производственная фирма «СКБ Контур» (АО «ПФ «СКБ Контур»),6661004661,6663003127,01.01.2012,"['620144, г. Екатеринбург, ул. Народной воли, 19а']",7 (343) 228-14-43,info@skbkontur.ru,62.02.30.000,Оказание услуги по сопровождению Единой информационной системы управления кадрами муниципальной службы (ЕИС УКМС) Администрации города Екатеринбурга 1 этап
3664900138221000009,"3 951 864,00 ",14.07.2021,01.12.2021,Электронный аукцион,АДМИНИСТРАЦИЯ ПЫШМИНСКОГО ГОРОДСКОГО ОКРУГА,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСГАЗ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСГАЗ"")",6649001382,6658418567,03.10.2012,"['620102, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ГУРЗУФСКАЯ, 18, СЕКЦ. 217-225, КОМ. 225']",7-343-2887850,info@rusgaz.org,71.12.19.000,1
3667436865919000001,"9 458 842,63 ",08.01.2019,27.02.2020,Конкурс с ограниченным участием,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 18,"""Комбинат питания ""Школьно-базовый""",6674368659,6672298438,25.06.2009,"['ул. Декабристов, д.16/18, кв.82']",7-343-2564924,Shbs_ek@mail.ru,56.29.20.120,организация питания детей в МБОУ СОШ № 18 г. Екатеринбурга в 2019 году
1665822595019000251,"2 029 797,00 ",17.09.2019,31.12.2019,Электронный аукцион,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИКО-САНИТАРНАЯ ЧАСТЬ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВЭС-93"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВЭС-93"")",6658225950,6678025081,25.02.2013,"['623700, ОБЛ СВЕРДЛОВСКАЯ 66, Г БЕРЕЗОВСКИЙ, УЛ УРАЛЬСКАЯ, 86']",7-343-3457220,aves1111@yandex.ru,,Говядина замороженная
3664601016319000035,"2 598 296,00 ",20.12.2019,31.12.2020,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ    ГОРОДСКОГО ХОЗЯЙСТВА""",Власов Олег ВикторовичИндивидуальный предприниматель,6646010163,664604114644,19.07.2010,"['Свердловская область, Нижнесергинский район, Михайловск, ул. Гагарина д. 41 кв.58']",8-904-3805632,mskartstroj@mail.ru,81.29.12.000,Содержание автомобильных дорог и сооружений на них в пгт. Бисерть
1665807569417000042,"2 374 975,78 ",27.09.2017,31.12.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 2 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОТЕКСТ"" (ООО ""НЕОТЕКСТ"")",6658075694,6678085845,18.08.2017,"['620141, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ АРТИНСКАЯ, ДОМ 4, ОФИС 101-2']",7-90244-03021,Aves1111@yandex.ru,13.95.10.111,синтепон
1666801265416000008,"1 432 620,89 ",17.03.2016,31.03.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""9 ОТРЯД ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАСЧЕТНЫЙ ЦЕНТР УРАЛА"" (АО ""РЦ УРАЛА"")",6668012654,6659190330,28.04.2009,"['620141, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул АРТИНСКАЯ, 15, 501']",8-3435-244943,PPU@RCurala.ru,35.30.11.120,Поставка тепловой энергии
3664100153516000009,"2 327 000,00 ",10.11.2016,08.01.2017,Электронный аукцион,МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГАРИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА,"Общество с ограниченной ответственностью ""Предприятие ""Стройкомплект""",6641001535,6663066293,04.04.2014,"['624006,Свердловская область, Сысертский район, п.Большой Исток, ул.Свердлова,42а']",8-343-3111211,bus@skl.ru,45.19.11.000,Приобретение автобуса для подвоза обучающихся МКОУ Гаринская СОШ
3660700258519000032,"2 453 230,00 ",27.05.2019,31.12.2019,Электронный аукцион,АДМИНИСТРАЦИЯ ВЕРХНЕСАЛДИНСКОГО ГОРОДСКОГО ОКРУГА,Глава крестьянского (фермерского) хозяйства Якупов Сергей РазимовичИндивидуальный предприниматель,6607002585,660700742605,01.01.2013,"['ОБЛ СВЕРДЛОВСКАЯ 66, Г ВЕРХНЯЯ САЛДА']",7-909706-69678,yakupov@mail.ru,,Услуги по планировке ландшафта
2663200681916000001,"2 499 776,00 ",29.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Серовский политехнический техникум""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6632006819,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-34385-60792,sesb@ies-holding.com,35.13.10.000,Поставка электрической энергии
2660100193018000004,"3 950 800,00 ",27.12.2017,31.03.2018,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АЛАПАЕВСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",ООО РАЗВИТИЕ,6601001930,7801432527,15.03.2017,"['199178, Российская Федерация, г. Санкт-Петербург, линия. 18-я В.О., 29, лит. З, офис А 431, ОКАТО: 40000000000']",+7(812)9316881,akhtemova@yandex.ru,32.50.21.112,"Поставка аппарата ""Искусственная почка"" для проведения гемодиализа"
3663900278916000001,"1 240 700,00 ",25.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ  ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОЛЬШЕБРУСЯНСКАЯ  СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 7""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НОВЫЕ ТЕХНОЛОГИИ"" БЕЛОЯРСКОГО ГОРОДСКОГО ОКРУГА (МУП ""НОВЫЕ ТЕХНОЛОГИИ"" БГО)",6639002789,6683008067,10.02.2015,"['624030, обл СВЕРДЛОВСКАЯ 66, р-н БЕЛОЯРСКИЙ, рп БЕЛОЯРСКИЙ, ул ХИМИКОВ, 12']",343-77-74928,Beloyarsk@rcurala.ru,35.30.11.119,Коммунальные услуги - теплоснабжение
3665700195719000078,"2 151 852,64 ",10.12.2019,31.12.2020,Электронный аукцион,АДМИНИСТРАЦИЯ ШАЛИНСКОГО ГОРОДСКОГО ОКРУГА,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШАЛИНСКОЕ СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШАЛИНСКОЕ СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ"")",6657001957,6657000375,03.05.2017,"['623030, ОБЛ СВЕРДЛОВСКАЯ 66, Р-Н ШАЛИНСКИЙ, ПГТ ШАЛЯ, УЛ НЕФТЯНИКОВ, ДОМ 22']",7-34358-21185,shal_su@mail.ru,81.29.12.000,Услуги по подметанию и уборке снега
1666000816620000013,"2 313 213,19 ",28.07.2020,20.12.2020,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности",ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ МАТЕМАТИКИ И МЕХАНИКИ ИМ. Н.Н. КРАСОВСКОГО УРАЛЬСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКИЙ ЛИФТОСТРОИТЕЛЬНЫЙ ЗАВОД ""ВЕРТИКАЛЬ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКИЙ ЛИФТОСТРОИТЕЛЬНЫЙ ЗАВОД ""ВЕРТИКАЛЬ"")",6660008166,6674333342,01.09.2011,"['620023, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ПАТРИОТОВ, ДОМ 6К1, КВАРТИРА 45']",7-343-3271595,vertikal66@list.ru,43.29.19.110,"Выполнение работ по частичному капитальному ремонту нежилого помещения по адресу: г. Екатеринбург, ул. Софьи Ковалевской, д.16, Литер А4, в части ремонта лифта."
1666100367517000020,"1 464 000,00 ",26.07.2017,15.08.2017,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ ЭКОНОМИЧЕСКИЙ УНИВЕРСИТЕТ""",Обухов Алексей ВасильевичИндивидуальный предприниматель,6661003675,663211491855,25.04.2016,"['620000, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Пушкина, д. 9а, офис 113']",7-909-0171979,usue@usue.ru,43.21.10.120,Электромонтажные работы для нужд УрГЭУ
1666100166021000055,"2 113 143,33 ",07.09.2021,31.12.2021,Электронный аукцион,АРБИТРАЖНЫЙ СУД СВЕРДЛОВСКОЙ ОБЛАСТИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЬМА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЬМА"")",6661001660,6673243801,01.01.2012,"['620057, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ШЕФСКАЯ, 64, 41']",8-965-5158546,remholodservis@list.ru,33.12.18.000,1
3661701771017000005,"2 861 949,85 ",02.12.2017,31.12.2017,Электронный аукцион,"МУНИЦИПАЛЬНОЕ  БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАРПИНСКИЙ ГОРОДСКОЙ ДВОРЕЦ КУЛЬТУРЫ""",БОРОВИКОВ АНДРЕЙ ВИТАЛЬЕВИЧИндивидуальный предприниматель,6617017710,661400129044,17.08.2016,"['Свердловская область, г. Карпинск, ул. Мира, дом 62, кв. 105']",7-902873-4099,Borovikov.andrey.69@mail.ru,43.99.90.190,Ремонтно-строительные работы части второго этажа городского дворца культуры г.Карпинск
2666401742918000004,"4 765 178,06 ",03.05.2018,15.08.2018,Электронный аукцион,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СВЕРДЛОВСКОЕ ОБЛАСТНОЕ ОБЪЕДИНЕНИЕ ПАССАЖИРСКОГО АВТОТРАНСПОРТА""","Общество с ограниченной ответственностью""АйТиБокс"" (ООО ""АйТиБокс"")",6664017429,6685054968,05.03.2014,"['620000, Российская Федерация, Свердловская обл., г. Екатеринбург, БОКС №105']",7-343-2478583,info@itbox.pro,28.99.39.190,"Поставка (с монтажом и пуско-наладкой на месте эксплуатации) оборудования системы сбора, хранения и анализа данных систем обеспечения транспортной безопасности для нужд Государственного унитарного предприятия Свердловской области «Свердловское областное объединение пассажирского автотранспорта»"
2661500016518000053,"1 896 438,00 ",29.11.2018,21.02.2019,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""КАЧКАНАРСКИЙ ГОРНО-ПРОМЫШЛЕННЫЙ КОЛЛЕДЖ""","ООО ""ПЕРСПЕКТИВА""",6615000165,6678091969,16.04.2018,"['620050, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Монтажников, ДОМ 2Б, ОФИС 18, ОКАТО: 65401368000']",+7(929)2362464,-,43.91.19.190,Ремонт кровли зданий учебного корпуса
2665807811017000016,"2 516 206,00 ",05.04.2017,31.12.2017,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ  УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ""","Общество с ограниченной ответственностью ""Ремонтно Строительная Компания ""СтройХолдинг""",6658078110,6670430120,05.11.2014,"['620012, г.Екатеринбург, ул.Красных борцов,д.21,38']",8-343-2887598,ooostroy_holding@mail.ru,42.11.20.000,Выполнение работ по организации строительства искусственного освещения на км 5+438 – км 6+000 автомобильной дороги г. Каменск-Уральский – с. Барабановское – п. Усть-Багаряк на территории Каменского городского округа
2664200023819000003,"3 629 724,15 ",20.08.2019,27.09.2019,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ИРБИТСКИЙ АГРАРНЫЙ ТЕХНИКУМ""","ООО ""ТЕХСЕРВИС""",6642000238,6678021545,06.12.2012,"['620050, 620050, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, УЛ ТЕХНИЧЕСКАЯ, 32, ОФИС 15, ЕКАТЕРИНБУРГ, ЕКАТЕРИНБУРГ, ТЕХНИЧЕСКАЯ, 32, ОФИС 15']",73432909987,tex2681@yandex.ru,,"Работы завершающие и отделочные в зданиях и сооружениях, прочие"
2666208106620000142,"1 952 016,00 ",03.11.2020,31.12.2020,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИМУТ""",6662081066,6652025009,01.01.2012,"['624002, ОБЛ СВЕРДЛОВСКАЯ, Г АРАМИЛЬ, УЛ 1 МАЯ, ДОМ 71, КВАРТИРА 96']",79222235152,ilmira-azimut@e1.ru,68.10.11.000,"Приобретение жилого помещения на территории г.Арамиля Свердловской области для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей , в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 1296-ПП..."
1666901243121000130,"2 081 894,80 ",01.11.2021,31.12.2021,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 13 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СНАБКОМПЛЕКТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СНАБКОМПЛЕКТ"")",6669012431,6612051210,23.04.2021,"['620050, ОБЛ. СВЕРДЛОВСКАЯ 66, Г. Екатеринбург, УЛ. МАНЕВРОВАЯ, СТР. 9, ОФИС 437']",8-912-2992566,Shab.complect90@yandex.ua,25.72.14.130,1
2660100666422000001,"1 082 525,82 ",17.01.2022,31.12.2022,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ВЕРХНЕСИНЯЧИХИНСКАЯ ШКОЛА-ИНТЕРНАТ, РЕАЛИЗУЮЩАЯ АДАПТИРОВАННЫЕ ОСНОВНЫЕ ОБЩЕОБРАЗОВАТЕЛЬНЫЕ ПРОГРАММЫ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ТЕПЛОСНАБЖАЮЩАЯ КОМПАНИЯ"" (АО ""ОТСК"")",6601006664,6658447960,17.12.2013,"['620102, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ МОСКОВСКАЯ, 48Г']",8-343-2860580,OGrammatchikova@okentrgo.com,35.30.11.120,1
3667131029818000110,"9 584 476,80 ",10.12.2018,31.12.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЕ БЛАГОУСТРОЙСТВО""",ООО ТД «УЗПМ»,6671310298,5902863974,13.04.2010,"['614000, Российская Федерация, Пермский край, г. Пермь, ул. Монастырская, д. 2']",8(342) 254-01-40,torgi@uzpm.ru,20.13.52.110,Приобретение противогололедных материалов
2665202790518000331,"1 460 250,00 ",25.10.2018,31.12.2018,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СЫСЕРТСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",Карамышев Сергей ВалерьевичИндивидуальный предприниматель,6652027905,662513346718,15.08.2016,"['620103, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Лучистая, 2, 440, ОКАТО: 65401390000']",7-922-1961076,ip-kvs@inbox.ru,26.60.12.119,фиброхоледохоскоп с осветителем
2666208106618000184,"2 406 336,00 ",14.08.2018,31.10.2018,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","Общество с ограниченной ответственностью ""Строительное управление № 5""",6662081066,7445025274,18.10.2016,"['455000, Челябинская обл, Магнитогорск г, ул.Гагарина, д.50 - 4']",8-3519-438170,ntagil.magnitostroy@gmail.com,68.10.11.000,"Приобретение жилых помещений на территории г.Нижнего Тагила Свердловской области для детей-сирот и детей, оставшихся без попечения родителей,  лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 1..."
3661900707320000001,"1 071 507,59 ",27.01.2020,10.11.2020,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НИЖНЕИРГИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЭНЕРГОСЕРВИС"" МО КРАСНОУФИМСКИЙ РАЙОН (МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЭНЕРГОСЕРВИС"" МО КРАСНОУФИМСКИЙ РАЙОН)",6619007073,6619009120,06.01.2004,"['623300, ОБЛ СВЕРДЛОВСКАЯ 66, Р-Н КРАСНОУФИМСКИЙ, - БЕРЕЗОВАЯ РОЩА, УЛ ЗАГОРОДНАЯ, 4']",8343-946-0084,energoservis2004@gmail.com,35.30.11.120,Оказание услуг по теплоснабжению
3660800486717000006,"2 965 022,28 ",07.08.2017,15.09.2017,Электронный аукцион,ЕКАТЕРИНБУРГСКОЕ  МУНИЦИПАЛЬНОЕ УНИТАРНОЕ СПЕЦИАЛИЗИРОВАННОЕ МОНТАЖНО-ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ ГОРОДА ЕКАТЕРИНБУРГА,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНЫЙ СВЕТ"" (ООО ""ДОРОЖНЫЙ СВЕТ"")",6608004867,6670347305,01.09.2011,"['620072, обл СВЕРДЛОВСКАЯ, г ЕКАТЕРИНБУРГ, ул НОВГОРОДЦЕВОЙ, 9/2, 70']",7-922-1031337,ogo1973@mail.ru,27.90.70.000,Комплект светофорного оборудования
1666001327916000365,"1 775 535,83 ",05.07.2016,31.12.2016,Электронный аукцион,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ - СВЕРДЛОВСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ БИЛДИНГ"" (ООО ""СБ"")",6660013279,6671449557,14.04.2014,"['620142, Свердловская область, г. Екатеринбург, ул. Белинского, д. 108, пом. 297']",8-343-3616811,ooo.sb@list.ru,41.20.40.000,Выполнение работ по ремонту служебных помещений
1666801114621000043,"5 837 754,70 ",30.11.2021,31.12.2023,"Закупка у единственного поставщика (подрядчика, исполнителя)","МЕЖМУНИЦИПАЛЬНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ""НИЖНЕТАГИЛЬСКОЕ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ-НТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ-НТ"")",6668011146,6623034200,13.09.2006,"['622001, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, УЛ КРАСНОАРМЕЙСКАЯ, 45А']",7-3435-230730,voda@voda-nt.ru,36.00.20.160,1
1666101464520000104,"4 288 600,00 ",07.04.2020,02.10.2020,Электронный аукцион,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УРАЛЬСКОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНЫЕ ПРИБОРЫ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНЫЕ ПРИБОРЫ"")",6661014645,7826012838,01.07.2003,"['198103, Г САНКТ-ПЕТЕРБУРГ 78, ПР-КТ РИЖСКИЙ, 26']",7-812-3131555,sinstr@sinstr.ru,26.51.70.190,Рентгеноструктурный анализатор. Россия
